"","post_id","word","n"
"1","20198","0",226
"2","50804","td",196
"3","20198","style",184
"4","34853","td",150
"5","20198","border",145
"6","20198","span",128
"7","20198","0px",126
"8","20198","color",125
"9","20198","rgb",124
"10","20198","153",118
"11","20198","td",102
"12","50804","align",98
"13","32874","margin",78
"14","32874","font",76
"15","34853","162",75
"16","34853","top",75
"17","34853","valign",75
"18","34853","width",75
"19","20198","width",73
"20","50768","div",70
"21","50769","div",70
"22","50770","div",70
"23","50417","div",66
"24","20198","class",64
"25","34254","quot",64
"26","20198","font",63
"27","20198","padding",55
"28","28349","span",54
"29","32874","style",54
"30","20198","margin",53
"31","28349","style",53
"32","19875","font",51
"33","19875","normal",51
"34","20198","top",51
"35","32874","span",50
"36","34853","tr",50
"37","28349","students",48
"38","32874","0in",47
"39","19875","text",44
"40","20198","1px",44
"41","34566","quot",44
"42","14368","border",42
"43","20198","solid",40
"44","14368","width",38
"45","32874","family",38
"46","32874","size",38
"47","34400","span",38
"48","28349","25in",37
"49","31672","font",37
"50","20198","text",36
"51","25092","font",36
"52","34254","span",36
"53","14959","font",35
"54","14959","normal",35
"55","32874","10",35
"56","14368","style",34
"57","31672","normal",34
"58","34566","span",34
"59","19875","0px",33
"60","19875","255",33
"61","19875","34",33
"62","34254","font",32
"63","20198","align",31
"64","18014","font",30
"65","28349","indent",30
"66","28349","task",30
"67","28349","text",30
"68","32874","bottom",30
"69","34566","font",30
"70","20198","height",29
"71","14959","text",28
"72","20198","normal",28
"73","21593","class",28
"74","34254","style",28
"75","50804","tr",28
"76","31672","text",27
"77","32874","height",27
"78","21593","div",26
"79","28349","data",26
"80","28349","quot",26
"81","32874","arial",26
"82","32874","mso",26
"83","34566","style",26
"84","51009","strong",26
"85","20198","bottom",25
"86","32405","font",25
"87","32405","normal",25
"88","32874","line",25
"89","32874","sans",25
"90","32874","serif",25
"91","39467","strong",25
"92","43660","strong",25
"93","64399","strong",25
"94","13094","span",24
"95","19875","span",24
"96","19875","style",24
"97","31672","255",24
"98","34424","span",24
"99","36563","li",24
"100","40007","strong",24
